Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100144,Male,Yes,2,Not Graduate,No,3009,1224,87.0,360.0,0.0,Urban,N
LP100145,Male,Yes,0,Graduate,No,1659,1901,68.0,360.0,1.0,Urban,N
LP100146,Male,Yes,0,Graduate,No,6959,1822,166.0,360.0,1.0,Urban,Y
LP100147,Male,No,2,Graduate,No,7697,0,,300.0,1.0,Rural,Y
LP100148,Male,Yes,1,Graduate,No,3223,1538,81.0,360.0,0.0,Urban,N
LP100149,Male,Yes,,Not Graduate,No,4972,600,84.0,360.0,1.0,Urban,Y
LP100150,Female,No,0,Not Graduate,No,3254,0,63.0,360.0,1.0,Urban,Y
LP100151,Male,No,3+,Graduate,No,1527,0,50.0,,1.0,Semiurban,Y
LP100152,Male,Yes,1,Graduate,No,2426,1512,82.0,360.0,,Urban,Y
LP100153,Male,No,2,Graduate,,3184,0,62.0,360.0,0.0,Rural,N
LP100154,Female,Yes,2,Not Graduate,Yes,2374,3267,115.0,360.0,1.0,Rural,Y
LP100155,Male,Yes,1,Graduate,No,2672,1179,66.0,120.0,1.0,Urban,Y
LP100156,Male,Yes,0,Graduate,No,2847,716,132.0,360.0,0.0,Semiurban,N
LP100157,Female,Yes,0,Not Graduate,No,2862,1641,117.0,360.0,1.0,Urban,Y
LP100158,Male,,0,Graduate,No,3059,1352,63.0,360.0,,Semiurban,Y
LP100159,Female,No,0,Not Graduate,No,1754,0,50.0,360.0,,Semiurban,Y
LP100160,Male,No,2,Graduate,No,2082,0,50.0,180.0,,Urban,Y
LP100161,Male,Yes,1,Graduate,No,1568,2428,,360.0,1.0,Urban,Y
LP100162,Male,,2,Graduate,Yes,4860,1797,106.0,360.0,1.0,Semiurban,Y
LP100163,Male,Yes,0,Not Graduate,Yes,1040,2173,72.0,360.0,,Semiurban,Y
LP100164,Male,Yes,1,Not Graduate,,5307,5367,199.0,240.0,1.0,Urban,Y
LP100165,Female,Yes,1,Graduate,No,5962,1471,168.0,360.0,1.0,Semiurban,Y
LP100166,Male,Yes,1,Graduate,No,2562,2136,113.0,180.0,1.0,Semiurban,Y
LP100167,Male,Yes,1,Graduate,No,811,1332,70.0,360.0,1.0,Rural,Y
LP100168,Male,No,0,Not Graduate,Yes,2488,0,50.0,360.0,1.0,Urban,Y
LP100169,Male,No,0,Graduate,No,2886,0,67.0,360.0,1.0,Rural,Y
LP100170,,Yes,0,Graduate,No,1798,1356,75.0,240.0,1.0,Semiurban,Y
LP100171,Male,,0,Graduate,Yes,2303,2243,,360.0,1.0,Urban,Y
LP100172,Male,Yes,0,Not Graduate,No,6406,7401,260.0,240.0,1.0,Semiurban,Y
LP100173,Male,Yes,1,Graduate,Yes,4156,1176,138.0,360.0,1.0,Semiurban,Y
LP100174,Male,Yes,3+,Graduate,No,1877,1408,70.0,360.0,,Rural,N
LP100175,Male,Yes,1,Graduate,No,1341,1740,74.0,360.0,1.0,Urban,N
LP100176,Male,No,1,Not Graduate,No,2531,0,50.0,120.0,1.0,Semiurban,Y
LP100177,Male,No,0,Graduate,No,2679,0,50.0,360.0,0.0,Semiurban,N
LP100178,Female,No,1,Graduate,No,3820,0,65.0,240.0,0.0,Rural,N
LP100179,Male,Yes,0,Not Graduate,No,2280,421,51.0,240.0,1.0,Urban,Y
LP100180,Male,Yes,0,Graduate,No,3849,431,64.0,240.0,1.0,Rural,Y
LP100181,Male,No,,Graduate,Yes,7844,0,156.0,360.0,1.0,Rural,Y
LP100182,Female,No,0,Graduate,No,4481,0,55.0,360.0,1.0,Urban,Y
LP100183,Female,Yes,0,Not Graduate,No,2910,706,50.0,180.0,1.0,Rural,Y
LP100184,Male,No,0,Graduate,No,2720,0,67.0,360.0,1.0,Rural,Y
LP100185,Male,Yes,0,Not Graduate,No,2494,2547,112.0,360.0,1.0,Urban,Y
LP100186,Female,No,3+,Graduate,No,5379,0,99.0,360.0,1.0,Semiurban,Y
LP100187,Male,Yes,0,Graduate,No,2178,939,50.0,360.0,,Semiurban,Y
LP100188,Male,Yes,0,Graduate,Yes,3049,1000,60.0,360.0,1.0,Urban,Y
LP100189,Male,Yes,0,Not Graduate,Yes,3058,1010,73.0,360.0,1.0,Urban,Y
LP100190,Male,No,1,Graduate,No,2319,0,59.0,360.0,1.0,Urban,Y
LP100191,Female,No,0,Not Graduate,No,1500,0,50.0,360.0,1.0,Urban,Y
LP100192,,Yes,0,Graduate,No,3503,2431,108.0,360.0,1.0,Semiurban,Y
LP100193,Male,Yes,0,Graduate,No,2891,326,50.0,360.0,1.0,Urban,Y
LP100194,Male,No,0,Graduate,No,3828,0,81.0,360.0,1.0,Rural,Y
LP100195,Male,Yes,0,Not Graduate,Yes,2282,919,50.0,360.0,1.0,Semiurban,Y
LP100196,Female,Yes,0,Graduate,No,5488,1550,130.0,360.0,1.0,Urban,Y
LP100197,Female,Yes,0,Graduate,No,1922,1309,91.0,360.0,,Semiurban,N
LP100198,Female,Yes,0,Graduate,No,7016,2918,215.0,360.0,0.0,Semiurban,N
LP100199,Female,No,0,Not Graduate,No,1244,0,50.0,180.0,1.0,Rural,Y
LP100200,Male,Yes,2,Graduate,No,3704,1858,,360.0,1.0,Urban,Y
LP100201,Male,Yes,1,Not Graduate,No,3780,2527,130.0,180.0,1.0,Urban,Y
LP100202,,Yes,0,Graduate,No,2002,5508,171.0,360.0,0.0,Rural,N
LP100203,Female,Yes,0,Graduate,No,3685,1354,93.0,360.0,1.0,Rural,Y
LP100204,Male,Yes,3+,Graduate,No,5651,2196,183.0,360.0,0.0,Semiurban,N
LP100205,Male,No,0,Not Graduate,No,983,0,50.0,360.0,1.0,Rural,Y
LP100206,Male,No,0,Not Graduate,No,3832,0,109.0,360.0,1.0,Urban,Y
LP100207,Male,Yes,1,Graduate,No,856,3001,83.0,360.0,0.0,Semiurban,N
LP100208,Male,Yes,0,Graduate,No,1839,1802,84.0,360.0,1.0,Urban,Y
LP100209,Male,Yes,0,Graduate,No,6731,3666,236.0,360.0,1.0,Urban,Y
LP100210,,,0,Graduate,Yes,2228,793,69.0,360.0,1.0,Rural,Y
LP100211,Male,Yes,2,Graduate,No,1657,2469,72.0,240.0,1.0,Urban,N
LP100212,Male,Yes,0,Graduate,No,2700,5548,155.0,360.0,1.0,Semiurban,Y
LP100213,Male,Yes,1,Graduate,No,8382,2325,218.0,360.0,1.0,Rural,Y
LP100214,Female,Yes,3+,Graduate,No,1192,2134,50.0,,1.0,Urban,Y
LP100215,Male,Yes,0,Graduate,No,1762,1817,68.0,360.0,1.0,Rural,Y
LP100216,Male,Yes,0,Graduate,No,6302,704,162.0,120.0,0.0,Rural,N
LP100217,Female,No,0,Graduate,Yes,7546,0,107.0,360.0,1.0,Semiurban,Y
LP100218,Male,No,0,Graduate,No,2830,0,87.0,360.0,1.0,Urban,Y
LP100219,Female,No,0,Not Graduate,No,1604,0,54.0,240.0,1.0,Urban,Y
LP100220,Male,No,3+,Graduate,No,8500,0,160.0,360.0,1.0,Semiurban,Y
LP100221,Male,Yes,1,Graduate,No,6615,890,160.0,360.0,1.0,Urban,Y
LP100222,Male,No,1,Graduate,No,4185,0,83.0,300.0,0.0,Urban,N
LP100223,Male,No,0,Graduate,No,1985,0,64.0,360.0,1.0,Rural,N
LP100224,Male,Yes,,Graduate,No,2908,4324,164.0,360.0,1.0,Urban,Y
LP100225,Male,Yes,3+,Graduate,No,2751,1725,61.0,360.0,1.0,Semiurban,Y
LP100226,Female,Yes,2,Not Graduate,Yes,3517,598,94.0,360.0,1.0,Urban,Y
LP100227,Male,Yes,0,Graduate,Yes,6157,3087,,360.0,0.0,Semiurban,N
LP100228,Female,Yes,1,Graduate,No,4627,1269,119.0,240.0,1.0,Rural,Y
LP100229,Male,Yes,0,Graduate,No,1739,2749,75.0,360.0,1.0,Urban,Y
LP100230,Female,No,0,Graduate,No,5932,0,153.0,180.0,1.0,Urban,Y
LP100231,Male,No,0,Graduate,No,3486,0,90.0,240.0,1.0,Semiurban,N
LP100232,Male,No,1,Not Graduate,No,4202,0,69.0,,1.0,Semiurban,Y
LP100233,Male,Yes,1,Graduate,No,6205,6752,232.0,360.0,1.0,Semiurban,Y
LP100234,Male,Yes,0,Graduate,No,1709,2430,75.0,360.0,1.0,Urban,N
LP100235,Female,Yes,0,Graduate,No,2928,1746,102.0,240.0,1.0,Urban,Y
LP100236,Male,Yes,0,Graduate,No,2285,3446,119.0,120.0,1.0,Rural,Y
LP100237,Male,No,0,Not Graduate,No,1361,0,52.0,360.0,0.0,Rural,N
LP100238,Male,Yes,0,Graduate,No,3545,2050,127.0,360.0,0.0,Semiurban,N
LP100239,Male,Yes,0,Graduate,No,10464,939,247.0,360.0,1.0,Rural,Y
LP100240,Female,No,2,Graduate,No,1187,0,50.0,240.0,1.0,Semiurban,Y
LP100241,Female,No,0,Not Graduate,No,2933,0,50.0,360.0,1.0,Semiurban,Y
LP100242,Female,,0,Graduate,No,4106,0,,360.0,1.0,Urban,Y
LP100243,Male,No,0,Graduate,Yes,3170,0,84.0,240.0,1.0,Semiurban,Y
LP100244,Male,Yes,3+,Graduate,Yes,2817,1711,89.0,360.0,1.0,Semiurban,Y
LP100245,Female,No,1,Graduate,No,1556,0,50.0,360.0,0.0,Urban,N
LP100246,Male,Yes,1,Graduate,No,3348,3289,126.0,360.0,0.0,Semiurban,N
LP100247,Female,No,0,Graduate,No,2041,0,50.0,360.0,1.0,Rural,Y
LP100248,Female,No,1,Graduate,No,997,0,50.0,360.0,1.0,Semiurban,Y
LP100249,Female,No,0,Graduate,No,5416,0,114.0,240.0,1.0,Semiurban,Y
LP100250,Male,Yes,,Graduate,No,4813,1744,118.0,360.0,1.0,Rural,Y
LP100251,Male,No,3+,Graduate,No,3058,0,,360.0,1.0,Urban,Y
LP100252,Female,Yes,1,Graduate,No,3342,2152,91.0,360.0,1.0,Semiurban,Y
LP100253,Male,No,2,Graduate,No,5100,0,124.0,360.0,0.0,Rural,N
LP100254,Male,Yes,1,Graduate,No,3334,922,,360.0,1.0,Semiurban,Y
LP100255,Male,Yes,0,Not Graduate,No,4684,3157,185.0,180.0,1.0,Urban,Y
LP100256,,No,,Graduate,No,2568,0,81.0,240.0,1.0,Urban,Y
LP100257,Male,Yes,0,Graduate,No,5744,1320,139.0,360.0,,Rural,Y
LP100258,Male,Yes,0,Graduate,No,3499,800,65.0,360.0,1.0,Semiurban,Y
LP100259,Male,No,0,Not Graduate,No,3284,0,50.0,360.0,0.0,Rural,N
LP100260,Male,Yes,0,Graduate,Yes,1579,537,50.0,240.0,1.0,Semiurban,Y
LP100261,Female,No,,Graduate,No,3440,0,50.0,360.0,1.0,Semiurban,Y
LP100262,Male,Yes,0,Graduate,No,1966,1262,92.0,180.0,1.0,Rural,Y
LP100263,Male,Yes,0,Graduate,No,2166,1012,65.0,360.0,1.0,Semiurban,Y
LP100264,Female,No,1,Graduate,No,1982,0,50.0,240.0,0.0,Semiurban,N
LP100265,Female,No,0,Graduate,No,1749,0,50.0,180.0,1.0,Semiurban,Y
LP100266,Male,No,0,Graduate,No,8624,0,148.0,180.0,0.0,Rural,N
LP100267,Female,No,1,Not Graduate,No,5800,0,133.0,360.0,1.0,Semiurban,Y
LP100268,Male,,0,Graduate,No,7786,3625,233.0,360.0,1.0,Semiurban,Y
LP100269,Male,Yes,1,Graduate,Yes,1617,3241,94.0,,1.0,Urban,Y
LP100270,Female,Yes,1,Graduate,No,3089,1132,95.0,180.0,1.0,Rural,Y
LP100271,Female,No,2,Graduate,No,1561,0,63.0,360.0,1.0,Urban,N
LP100272,Female,No,1,Graduate,No,2105,0,50.0,,1.0,Semiurban,Y
LP100273,Female,No,0,Graduate,No,1883,0,50.0,240.0,1.0,Semiurban,Y
LP100274,,Yes,1,Graduate,No,5540,4471,204.0,360.0,1.0,Semiurban,Y
LP100275,Male,Yes,0,Not Graduate,,2445,2600,148.0,120.0,1.0,Semiurban,Y
LP100276,Female,Yes,0,Not Graduate,No,5085,2453,108.0,360.0,1.0,Urban,Y
LP100277,Male,Yes,2,Graduate,No,4032,1396,122.0,360.0,1.0,Semiurban,Y
LP100278,Female,Yes,0,Graduate,No,9431,742,,360.0,1.0,Rural,Y
LP100279,Female,No,2,Not Graduate,No,1422,0,50.0,360.0,1.0,Rural,Y
LP100280,Female,Yes,2,Graduate,No,5594,3729,173.0,180.0,1.0,Urban,Y
LP100281,Male,No,2,Not Graduate,No,5288,0,104.0,360.0,1.0,Rural,Y
LP100282,Male,Yes,3+,Graduate,Yes,1832,960,70.0,360.0,1.0,Semiurban,Y
LP100283,Male,Yes,,Graduate,No,4932,1950,199.0,360.0,1.0,Rural,Y
LP100284,Male,No,0,Graduate,No,3526,0,86.0,,1.0,Semiurban,Y
LP100285,Male,Yes,1,Graduate,Yes,2660,1123,,360.0,0.0,Semiurban,N
LP100286,Male,No,0,Graduate,No,1974,0,50.0,240.0,1.0,Rural,Y
LP100287,Male,,1,Graduate,No,2080,796,50.0,360.0,1.0,Rural,Y
LP100288,Male,Yes,1,Graduate,Yes,8307,1007,150.0,360.0,1.0,Semiurban,Y
LP100289,Male,No,1,Graduate,No,2981,0,53.0,360.0,1.0,Urban,Y
LP100290,Male,No,0,Graduate,No,4407,0,102.0,360.0,0.0,Semiurban,N
LP100291,Male,No,0,Not Graduate,Yes,2007,0,50.0,240.0,1.0,Semiurban,Y
LP100292,Female,Yes,0,Graduate,,2018,1238,86.0,360.0,0.0,Urban,N
LP100293,Male,Yes,0,Not Graduate,No,5120,2805,168.0,180.0,0.0,Urban,N
LP100294,Male,Yes,2,Graduate,Yes,1518,1606,50.0,360.0,,Rural,N
LP100295,Male,Yes,0,Graduate,No,2422,1368,72.0,,1.0,Urban,Y
LP100296,Female,Yes,0,Not Graduate,No,3032,1856,129.0,300.0,1.0,Semiurban,Y
LP100297,Male,Yes,0,Graduate,Yes,3151,634,90.0,,1.0,Urban,Y
LP100298,,,1,Graduate,No,2725,0,54.0,360.0,1.0,Urban,Y
LP100299,Male,Yes,1,Graduate,No,3633,2275,113.0,360.0,,Urban,N
LP100300,Male,Yes,0,Graduate,No,4215,1414,114.0,360.0,1.0,Urban,Y
LP100301,Male,Yes,0,Graduate,No,4304,3306,141.0,360.0,1.0,Rural,Y
LP100302,Male,No,0,Not Graduate,No,1820,0,50.0,180.0,1.0,Rural,Y
LP100303,Male,,0,Graduate,No,2586,0,92.0,180.0,0.0,Urban,N
